Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Eşya_Durumu,Binanın_Yaşı,Isıtma_Tipi,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Takas,Tapu_Durumu,Banyo_Sayısı
110,120.0,3.0,3.Kat,,0 (Yeni),Yerden Isıtma,2200000.0,denizli,3,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
140,150.0,4.0,Bahçe Katı,,5-10,Kombi Doğalgaz,1650000.0,denizli,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,Bilinmiyor,1.0
110,120.0,3.0,5.Kat,,21 Ve Üzeri,Kombi Doğalgaz,1000000.0,denizli,5,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
60,65.0,2.0,Düz Giriş (Zemin),Eşyalı,5-10,Yerden Isıtma,1299000.0,denizli,3,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
100,110.0,3.0,1.Kat,Boş,5-10,Yerden Isıtma,1799000.0,denizli,2,Boş,Bilinmiyor,Yok,Kat İrtifakı,1.0
130,140.0,4.0,4.Kat,,11-15,Merkezi Doğalgaz,1650000.0,denizli,4,Boş,,,,1.0
140,160.0,4.0,3.Kat,,4,Kombi Doğalgaz,3250000.0,denizli,3,Boş,,,,1.0
180,185.0,4.5,Bahçe Katı,Boş,5-10,Yerden Isıtma,5250000.0,denizli,5,Mülk Sahibi Oturuyor,Uygun,Yok,Kat Mülkiyeti,2.0
110,120.0,3.0,Bahçe Katı,,21 Ve Üzeri,Yerden Isıtma,1460000.0,denizli,7,Mülk Sahibi Oturuyor,,,,1.0
95,100.0,3.0,5.Kat,,21 Ve Üzeri,Kombi Doğalgaz,1199000.0,denizli,5,Kiracı Oturuyor,,,,1.0
120,130.0,4.0,Çatı Dubleks,Boş,0 (Yeni),Kombi Doğalgaz,1875000.0,denizli,3,Boş,Uygun,Var,Kat İrtifakı,1.0
54,55.0,2.0,1.Kat,Eşyalı,4,Kombi Doğalgaz,1375000.0,denizli,3,Boş,Uygun,Yok,Kat Mülkiyeti,1.0
100,115.0,4.0,2.Kat,,16-20,Kombi Doğalgaz,1600000.0,denizli,3,Boş,,,,1.0
90,95.0,3.0,3.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1750000.0,denizli,3,Boş,Bilinmiyor,Yok,,1.0
120,130.0,4.0,1.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2145000.0,denizli,3,Boş,Bilinmiyor,Var,,1.0
145,175.0,4.0,1.Kat,Boş,0 (Yeni),Kombi Doğalgaz,3300000.0,denizli,3,Kiracı Oturuyor,Bilinmiyor,Yok,,2.0
145,150.0,4.0,4.Kat,,3,Jeotermal,1890000.0,denizli,4,Boş,,,,1.0
68,80.0,3.0,1.Kat,,5-10,Kat Kaloriferi,1150000.0,denizli,4,Boş,Bilinmiyor,Yok,,1.0
100,110.0,3.0,4.Kat,Boş,4,Yerden Isıtma,1899000.0,denizli,4,Kiracı Oturuyor,Bilinmiyor,Yok,Kat İrtifakı,1.0
135,150.0,4.0,2.Kat,Boş,11-15,Kombi Doğalgaz,1740000.0,denizli,4,Boş,Bilinmiyor,Yok,Kat İrtifakı,1.0
3950,4000.0,,1.Kat,,0 (Yeni),Isıtma Yok,215000.0,denizli,1,Boş,,,,0.0
100,120.0,3.0,2.Kat,Boş,0 (Yeni),Yerden Isıtma,2850000.0,denizli,4,Boş,Bilinmiyor,Yok,,1.0
60,477.0,2.0,,,0 (Yeni),Sobalı,1620000.0,denizli,1,Boş,Uygun,,,1.0
90,100.0,3.0,5.Kat,Boş,1,Kombi Doğalgaz,1800000.0,denizli,5,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,1.0
50,55.0,2.0,2.Kat,Eşyalı,0 (Yeni),Kombi Doğalgaz,899000.0,denizli,4,Boş,Uygun,,,1.0
55,60.0,3.0,2.Kat,,5-10,Merkezi Doğalgaz,1350000.0,denizli,4,Boş,,,,1.0
120,130.0,5.0,,,5-10,Kat Kaloriferi,2550000.0,denizli,2,Kiracı Oturuyor,Bilinmiyor,Yok,,1.0
230,250.0,6.0,Çatı Dubleks,Boş,16-20,Kombi Doğalgaz,3500000.0,denizli,3,Boş,Uygun,Var,,2.0
725,730.0,4.0,,Boş,11-15,Klimalı,1550000.0,denizli,1,Boş,,,Kat Mülkiyeti,1.0
259,260.0,,,,5-10,Kombi Doğalgaz,1850000.0,denizli,2,Boş,Bilinmiyor,Var,,6.0
115,154.0,4.0,,Boş,5-10,Kombi Doğalgaz,2400000.0,denizli,1,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,2.0
130,135.0,4.0,2.Kat,Boş,0 (Yeni),Yerden Isıtma,2300000.0,denizli,5,Boş,Bilinmiyor,Var,,1.0
120,150.0,4.0,,Boş,11-15,Sobalı,1350000.0,denizli,1,Boş,Bilinmiyor,Yok,,1.0
60,65.0,2.0,Bahçe Katı,Eşyalı,5-10,Kombi Doğalgaz,1099000.0,denizli,2,Boş,,Yok,,1.0
95,110.0,3.0,1.Kat,,21 Ve Üzeri,Kombi Doğalgaz,1650000.0,denizli,6,Mülk Sahibi Oturuyor,,,,1.0
130,135.0,4.0,Müstakil,,0 (Yeni),Kombi Doğalgaz,9250000.0,denizli,3,Boş,,,,1.0
133,145.0,3.5,4.Kat,,21 Ve Üzeri,Kombi Doğalgaz,1800000.0,denizli,7,Mülk Sahibi Oturuyor,,,,1.0
140,150.0,4.0,Yüksek Giriş,Boş,5-10,Yerden Isıtma,4100000.0,denizli,3,Mülk Sahibi Oturuyor,Uygun,Yok,,1.0
55,60.0,2.0,4.Kat,,4,Yerden Isıtma,1195000.0,denizli,7,Boş,Uygun,,,1.0
50,58.0,2.0,Yüksek Giriş,Eşyalı,3,Yerden Isıtma,1300000.0,denizli,3,Boş,Uygun,Var,,1.0
130,140.0,4.0,Yüksek Giriş,,5-10,Yerden Isıtma,2450000.0,denizli,3,Boş,,,,3.0
64,65.0,2.0,Düz Giriş (Zemin),Eşyalı,4,Yerden Isıtma,1099000.0,denizli,3,Boş,Uygun,Var,Kat Mülkiyeti,2.0
54,55.0,2.0,Yüksek Giriş,Eşyalı,3,Kombi Doğalgaz,1300000.0,denizli,3,Boş,Uygun,Var,Kat Mülkiyeti,1.0
40,45.0,2.0,2.Kat,Eşyalı,5-10,Kombi Doğalgaz,899000.0,denizli,5,Kiracı Oturuyor,Uygun,Yok,Kat İrtifakı,1.0
135,145.0,4.0,Bahçe Dublex,Boş,2,Sobalı,15725000.0,denizli,2,Mülk Sahibi Oturuyor,Uygun,Yok,Müstakil Tapulu,2.0
120,129.0,4.0,2.Kat,,21 Ve Üzeri,Sobalı,800000.0,denizli,3,Boş,,,,1.0
55,60.0,2.0,Yüksek Giriş,,4,Yerden Isıtma,1300000.0,denizli,3,Boş,,,,1.0
78,80.0,3.0,Düz Giriş (Zemin),Boş,5-10,Kombi Doğalgaz,1170000.0,denizli,3,Mülk Sahibi Oturuyor,Uygun,Yok,Müstakil Tapulu,1.0
38,43.0,2.0,Kot 3 (-3).Kat,,0 (Yeni),Kat Kaloriferi,1050000.0,denizli,3,Boş,Bilinmiyor,Var,Kat İrtifakı,1.0
120,130.0,3.0,,,0 (Yeni),Kombi Doğalgaz,1610000.0,denizli,2,Boş,Bilinmiyor,Var,Kat İrtifakı,1.0
195,210.0,4.0,,,1,Kombi Doğalgaz,6100000.0,denizli,2,Boş,Bilinmiyor,Var,Kat İrtifakı,3.0
100,110.0,3.0,3.Kat,,5-10,Kombi Doğalgaz,1575000.0,denizli,4,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,Kat İrtifakı,2.0
140,150.0,4.0,,,16-20,Kombi Doğalgaz,1515000.0,denizli,2,Mülk Sahibi Oturuyor,Bilinmiyor,Var,Kat İrtifakı,3.0
89,90.0,3.0,3.Kat,Boş,5-10,Kombi Doğalgaz,1450000.0,denizli,3,Boş,Uygun,Yok,Kat Mülkiyeti,1.0
79,80.0,3.0,2.Kat,Eşyalı,1,Diğer,1850000.0,denizli,2,Boş,Uygun,Yok,Kat Mülkiyeti,1.0
49,50.0,2.0,Bodrum Kat,Eşyalı,4,Kombi Doğalgaz,1100000.0,denizli,4,Boş,Uygun,Yok,Müstakil Tapulu,1.0
49,50.0,2.0,2.Kat,Eşyalı,5-10,Kombi Doğalgaz,1350000.0,denizli,4,Boş,,Yok,,1.0
50,55.0,2.0,Bahçe Katı,Eşyalı,11-15,Kombi Doğalgaz,750000.0,denizli,3,Boş,Uygun,Var,Kat Mülkiyeti,1.0
90,105.0,3.0,2.Kat,,5-10,Kombi Doğalgaz,2015000.0,denizli,4,Mülk Sahibi Oturuyor,,,,1.0
125,130.0,4.0,Düz Giriş (Zemin),,5-10,Kombi Doğalgaz,1700000.0,denizli,4,Boş,,Yok,Müstakil Tapulu,1.0
52,57.0,2.0,1.Kat,Boş,0 (Yeni),Yerden Isıtma,1750000.0,denizli,2,Boş,Uygun,,Kat Mülkiyeti,1.0
140,150.0,3.0,Bahçe Katı,Eşyalı,5-10,Kombi Doğalgaz,3600000.0,denizli,4,Boş,,Var,Kat Mülkiyeti,1.0
50,55.0,2.0,2.Kat,,5-10,Kombi Doğalgaz,2850000.0,denizli,4,Kiracı Oturuyor,,,,1.0
110,120.0,3.0,Yüksek Giriş,,0 (Yeni),Yerden Isıtma,2050000.0,denizli,3,Boş,,,,1.0
150,160.0,5.0,,Boş,16-20,Sobalı,2250000.0,denizli,2,Boş,Uygun,Var,Müstakil Tapulu,1.0
104,105.0,3.0,2.Kat,,5-10,Kombi Doğalgaz,1870000.0,denizli,2,Boş,Uygun,Yok,Kat Mülkiyeti,1.0
130,135.0,3.0,2.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,1450000.0,denizli,6,Boş,Uygun,,,1.0
119,120.0,3.0,4.Kat,Boş,16-20,Kombi Doğalgaz,1550000.0,denizli,4,Boş,Uygun,Yok,Müstakil Tapulu,1.0
44,45.0,2.0,1.Kat,Eşyalı,4,Kombi Doğalgaz,1090000.0,denizli,4,Boş,Uygun,,Kat Mülkiyeti,1.0
75,80.0,3.0,2.Kat,Eşyalı,1,Yerden Isıtma,1850000.0,denizli,2,Boş,Uygun,Yok,Kat İrtifakı,1.0
49,50.0,2.0,3.Kat,Eşyalı,4,Kombi Doğalgaz,980000.0,denizli,3,Boş,Uygun,Yok,Kat Mülkiyeti,1.0
95,105.0,4.0,1.Kat,,5-10,Kombi Doğalgaz,1550000.0,denizli,4,Kiracı Oturuyor,,,,2.0
95,120.0,3.0,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2950000.0,denizli,4,Boş,Bilinmiyor,Var,,1.0
130,135.0,3.0,4.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,1375000.0,denizli,4,Kiracı Oturuyor,Uygun,Yok,Kat İrtifakı,1.0
85,90.0,3.0,Bahçe Dublex,,4,Yerden Isıtma,1300000.0,denizli,4,Mülk Sahibi Oturuyor,,,,1.0
65,70.0,2.0,Bahçe Katı,,5-10,Yerden Isıtma,1250000.0,denizli,2,Boş,,,,2.0
100,110.0,3.0,1.Kat,,0 (Yeni),Yerden Isıtma,2450000.0,denizli,4,Boş,,,,1.0
130,150.0,4.0,2.Kat,Boş,0 (Yeni),Yerden Isıtma,2550000.0,denizli,5,Boş,Bilinmiyor,Yok,,1.0
105,110.0,3.5,1.Kat,Boş,5-10,Kombi Doğalgaz,3100000.0,denizli,3,Mülk Sahibi Oturuyor,Uygun,Yok,Kat İrtifakı,1.0
150,160.0,5.0,2.Kat,,5-10,Kombi Doğalgaz,2990000.0,denizli,2,Boş,,,,2.0
50,55.0,2.0,1.Kat,Eşyalı,5-10,Merkezi Doğalgaz,1299000.0,denizli,4,Boş,Uygun,Yok,Kat Mülkiyeti,1.0
50,55.0,2.0,1.Kat,Eşyalı,5-10,Merkezi Doğalgaz,1299000.0,denizli,4,Boş,Uygun,Yok,Kat Mülkiyeti,1.0
45,50.0,2.0,Yüksek Giriş,Eşyalı,4,Kombi Doğalgaz,1190000.0,denizli,3,Boş,Uygun,Yok,,1.0
145,150.0,4.0,2.Kat,,0 (Yeni),Yerden Isıtma,4300000.0,denizli,4,Boş,Uygun,,Bilinmiyor,2.0
90,100.0,3.0,3.Kat,Boş,11-15,Kombi Doğalgaz,1450000.0,denizli,3,Boş,Uygun,Yok,Kat Mülkiyeti,1.0
90,100.0,3.0,3.Kat,,5-10,Kombi Doğalgaz,1850000.0,denizli,4,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
120,125.0,4.0,6.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,2250000.0,denizli,7,Boş,,,,1.0
140,150.0,4.0,4.Kat,,21 Ve Üzeri,Kombi Doğalgaz,1700000.0,denizli,4,Boş,,,,1.0
125,130.0,3.0,2.Kat,,16-20,Kombi Doğalgaz,1500000.0,denizli,4,Boş,,,,1.0
60,65.0,3.0,4.Kat,Eşyalı,11-15,Merkezi Doğalgaz,1535000.0,denizli,5,Boş,,Var,,1.0
60,65.0,3.0,3.Kat,Eşyalı,5-10,Merkezi Doğalgaz,1750000.0,denizli,3,Boş,,Var,,1.0
150,160.0,4.0,4.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,2500000.0,denizli,4,Boş,Uygun,Var,Kat Mülkiyeti,1.0
150,160.0,4.0,3.Kat,,21 Ve Üzeri,Kombi Doğalgaz,2200000.0,denizli,3,Boş,,,,1.0
130,135.0,3.0,5.Kat,,2,Yerden Isıtma,2500000.0,denizli,5,Kiracı Oturuyor,,Var,,2.0
50,55.0,2.0,Yüksek Giriş,Eşyalı,4,Yerden Isıtma,1200000.0,denizli,3,Boş,,,Kat Mülkiyeti,1.0
150,160.0,4.0,2.Kat,Boş,11-15,Kombi Doğalgaz,2950000.0,denizli,3,Kiracı Oturuyor,Uygun,Yok,Kat Mülkiyeti,1.0
55,60.0,3.0,Bahçe Katı,Eşyalı,5-10,Merkezi Doğalgaz,1150000.0,denizli,3,Boş,Uygun,Var,Kat Mülkiyeti,1.0
55,60.0,3.0,Çatı Katı,Eşyalı,5-10,Merkezi Doğalgaz,1150000.0,denizli,3,Boş,Uygun,Var,Kat Mülkiyeti,1.0
150,155.0,4.0,2.Kat,,21 Ve Üzeri,Kombi Doğalgaz,1300000.0,denizli,3,Boş,,,,1.0
205,225.0,4.0,,,21 Ve Üzeri,Kombi Doğalgaz,5850000.0,denizli,2,Boş,,,,1.0
100,105.0,3.0,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2500000.0,denizli,3,Boş,Bilinmiyor,Yok,,1.0
100,105.0,3.0,1.Kat,Boş,5-10,Kombi Doğalgaz,2450000.0,denizli,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,1.0
130,145.0,4.0,1.Kat,,21 Ve Üzeri,Merkezi Doğalgaz,1900000.0,denizli,4,Boş,,,,1.0
155,175.0,4.0,2.Kat,Boş,11-15,Kombi Doğalgaz,3770000.0,denizli,3,Mülk Sahibi Oturuyor,Bilinmiyor,Var,,1.0
35,55.0,3.0,Bahçe Katı,Eşyalı,5-10,Merkezi Doğalgaz,1040000.0,denizli,2,Boş,Bilinmiyor,Yok,,1.0
65,85.0,2.0,Bahçe Katı,Eşyalı,5-10,Yerden Isıtma,1285000.0,denizli,4,Boş,Bilinmiyor,Var,,1.0
50,60.0,2.0,1.Kat,Eşyalı,5-10,Yerden Isıtma,1375000.0,denizli,3,Boş,Bilinmiyor,Yok,,1.0
60,65.0,3.0,4.Kat,Eşyalı,5-10,Merkezi (Pay Ölçer),1365000.0,denizli,4,Boş,Bilinmiyor,Yok,,1.0
110,120.0,3.0,Yüksek Giriş,,0 (Yeni),Yerden Isıtma,2750000.0,denizli,3,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
140,150.0,4.0,Yüksek Giriş,,0 (Yeni),Yerden Isıtma,3000000.0,denizli,3,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
110,120.0,3.0,Yüksek Giriş,,0 (Yeni),Yerden Isıtma,2500000.0,denizli,3,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
150,160.0,4.0,Yüksek Giriş,,21 Ve Üzeri,Kombi Doğalgaz,1650000.0,denizli,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,Bilinmiyor,1.0
110,120.0,3.0,2.Kat,,5-10,Yerden Isıtma,1350000.0,denizli,3,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
120,125.0,4.0,2.Kat,Boş,21 Ve Üzeri,Klimalı,1700000.0,denizli,4,Boş,Bilinmiyor,Yok,Müstakil Tapulu,1.0
135,155.0,4.0,Yüksek Giriş,Boş,0 (Yeni),Yerden Isıtma,3500000.0,denizli,5,Boş,Bilinmiyor,Yok,,2.0
48,55.0,2.0,2.Kat,Eşyalı,5-10,Kombi Doğalgaz,1400000.0,denizli,5,Kiracı Oturuyor,Bilinmiyor,Var,,1.0
120,135.0,4.5,3.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,1650000.0,denizli,4,Boş,Bilinmiyor,Var,,1.0
150,170.0,4.0,1.Kat,Boş,0 (Yeni),Kombi Doğalgaz,4050000.0,denizli,5,Boş,Bilinmiyor,Yok,Kat İrtifakı,2.0
135,145.0,4.0,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2600000.0,denizli,3,Boş,Bilinmiyor,Yok,Kat İrtifakı,1.0
110,120.0,4.0,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2400000.0,denizli,3,Boş,Bilinmiyor,Yok,Kat İrtifakı,1.0
105,120.0,3.0,7.Kat,,21 Ve Üzeri,Kombi Doğalgaz,2200000.0,denizli,7,Kiracı Oturuyor,,,,1.0
190,196.0,4.0,3.Kat,Boş,21 Ve Üzeri,Merkezi Doğalgaz,2600000.0,denizli,6,Boş,Uygun,,Kat Mülkiyeti,1.0
110,120.0,3.0,7.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,1800000.0,denizli,7,Boş,Bilinmiyor,Yok,,1.0
125,138.0,4.0,6.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,1320000.0,denizli,6,Kiracı Oturuyor,Bilinmiyor,Var,Kat İrtifakı,1.0
60,70.0,2.0,Çatı Dubleks,Eşyalı,5-10,Kombi Doğalgaz,1550000.0,denizli,2,Boş,,,,1.0
155,160.0,4.0,2.Kat,,21 Ve Üzeri,Merkezi Doğalgaz,2250000.0,denizli,7,Boş,Uygun,,Kat Mülkiyeti,1.0
50,55.0,2.0,2.Kat,Eşyalı,4,Kombi Doğalgaz,1250000.0,denizli,4,Boş,Uygun,,Kat Mülkiyeti,1.0
62,65.0,2.0,Bahçe Katı,Eşyalı,5-10,Kombi Doğalgaz,1350000.0,denizli,4,Boş,Uygun,,Kat Mülkiyeti,2.0
60,65.0,3.0,Bahçe Katı,,21 Ve Üzeri,Merkezi Doğalgaz,1600000.0,denizli,4,Boş,Uygun,,Kat Mülkiyeti,1.0
145,155.0,4.0,2.Kat,Boş,11-15,Kombi Doğalgaz,2530000.0,denizli,4,Boş,Uygun,Var,Kat Mülkiyeti,1.0
195,210.0,6.0,1.Kat,Boş,16-20,Kombi Doğalgaz,2750000.0,denizli,4,Boş,Uygun,,,1.0
68,70.0,3.0,1.Kat,,4,Kombi Doğalgaz,1450000.0,denizli,3,Kiracı Oturuyor,Uygun,,Kat Mülkiyeti,1.0
138,140.0,3.0,2.Kat,,16-20,Merkezi Doğalgaz,2950000.0,denizli,5,Kiracı Oturuyor,Uygun,Yok,Kat Mülkiyeti,1.0
50,60.0,2.0,2.Kat,Eşyalı,5-10,Kombi Doğalgaz,1590000.0,denizli,4,Boş,Bilinmiyor,Var,,1.0
80,90.0,3.0,2.Kat,Eşyalı,0 (Yeni),Yerden Isıtma,2500000.0,denizli,3,Boş,Bilinmiyor,Var,,1.0
45,55.0,2.0,2.Kat,Eşyalı,4,Yerden Isıtma,1550000.0,denizli,4,Boş,Bilinmiyor,Var,,1.0
22,40.0,2.0,3.Kat,Eşyalı,5-10,Kombi Doğalgaz,1200000.0,denizli,5,Boş,Bilinmiyor,Var,,1.0
85,135.0,6.0,5.Kat,Eşyalı,5-10,Kombi Doğalgaz,2700000.0,denizli,5,Boş,Bilinmiyor,Var,,2.0
90,140.0,6.0,5.Kat,Eşyalı,5-10,Kombi Doğalgaz,2700000.0,denizli,5,Boş,Bilinmiyor,Var,,1.0
60,100.0,4.0,5.Kat,Eşyalı,5-10,Yerden Isıtma,2099000.0,denizli,5,Boş,Bilinmiyor,Var,,2.0
45,70.0,3.0,3.Kat,Eşyalı,5-10,Kombi Doğalgaz,1950000.0,denizli,5,Boş,Bilinmiyor,Var,,1.0
35,60.0,3.0,3.Kat,Eşyalı,5-10,Kombi Doğalgaz,1699000.0,denizli,5,Boş,Bilinmiyor,Var,,1.0
85,110.0,3.0,3.Kat,Boş,0 (Yeni),Yerden Isıtma,3799000.0,denizli,4,Boş,Bilinmiyor,Var,,1.0
45,50.0,2.0,2.Kat,Eşyalı,11-15,Yerden Isıtma,1575000.0,denizli,5,Boş,Bilinmiyor,Var,,1.0
150,175.0,4.0,5.Kat,Boş,0 (Yeni),Yerden Isıtma,4980000.0,denizli,8,Boş,Bilinmiyor,Var,,2.0
365,400.0,7.0,,Boş,0 (Yeni),Yerden Isıtma,28499000.0,denizli,3,Boş,Bilinmiyor,Var,,3.0
45,55.0,2.0,2.Kat,Eşyalı,0 (Yeni),Yerden Isıtma,1795000.0,denizli,4,Boş,Bilinmiyor,Var,,1.0
45,50.0,2.0,3.Kat,Eşyalı,11-15,Yerden Isıtma,1599000.0,denizli,4,Boş,Bilinmiyor,Var,,1.0
50,60.0,2.0,2.Kat,Eşyalı,5-10,Yerden Isıtma,1690000.0,denizli,4,Boş,Bilinmiyor,Var,,1.0
70,90.0,4.0,3.Kat,Eşyalı,0 (Yeni),Yerden Isıtma,2499000.0,denizli,3,Boş,Bilinmiyor,Var,,1.0
50,65.0,3.0,2.Kat,Eşyalı,11-15,Yerden Isıtma,1480000.0,denizli,4,Boş,Bilinmiyor,Var,,1.0
115,130.0,4.0,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2500000.0,denizli,3,Boş,Bilinmiyor,Var,,1.0
130,135.0,4.0,4.Kat,,16-20,Kombi Doğalgaz,1500000.0,denizli,4,Kiracı Oturuyor,,,,1.0
50,60.0,2.0,Bahçe Katı,Eşyalı,5-10,Kombi Doğalgaz,925000.0,denizli,5,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
90,95.0,3.0,Çatı Dubleks,,5-10,Kombi Doğalgaz,1850000.0,denizli,3,Boş,Uygun,,Kat Mülkiyeti,1.0
59,60.0,2.0,3.Kat,Eşyalı,2,Kombi Doğalgaz,1600000.0,denizli,4,Boş,Uygun,Yok,Müstakil Tapulu,1.0
40,42.0,2.0,2.Kat,Eşyalı,1,Merkezi Doğalgaz,1200000.0,denizli,4,Boş,Uygun,Var,Kat Mülkiyeti,1.0
43,45.0,2.0,3.Kat,Eşyalı,5-10,Kombi Doğalgaz,1190000.0,denizli,3,Boş,Uygun,,Kat Mülkiyeti,1.0
50,51.0,2.0,2.Kat,Eşyalı,4,Kombi Doğalgaz,1200000.0,denizli,4,Boş,Uygun,Yok,Müstakil Tapulu,1.0
90,95.0,3.0,2.Kat,Eşyalı,0 (Yeni),Yerden Isıtma,2090000.0,denizli,3,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
50,55.0,2.0,1.Kat,Eşyalı,5-10,Kombi Doğalgaz,1699000.0,denizli,2,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
70,75.0,3.0,Yüksek Giriş,Eşyalı,5-10,Yerden Isıtma,1465000.0,denizli,2,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
60,65.0,2.0,4.Kat,Eşyalı,16-20,Yerden Isıtma,1590000.0,denizli,4,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
50,55.0,2.0,5.Kat,,0 (Yeni),Yerden Isıtma,1425000.0,denizli,5,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
50,55.0,2.0,2.Kat,Eşyalı,5-10,Yerden Isıtma,1150000.0,denizli,3,Boş,Bilinmiyor,Yok,Bilinmiyor,1.0
50,55.0,3.0,Bahçe Katı,Eşyalı,11-15,Kombi Doğalgaz,975000.0,denizli,3,Kiracı Oturuyor,,Var,,1.0
105,110.0,3.0,Çatı Dubleks,Boş,5-10,Kombi Doğalgaz,1350000.0,denizli,4,Boş,Uygun,,,1.0
60,65.0,3.0,4.Kat,,5-10,Yerden Isıtma,1365000.0,denizli,4,Boş,,,,1.0
57,60.0,3.0,2.Kat,,5-10,Kombi Doğalgaz,1700000.0,denizli,4,Boş,Uygun,Var,Kat Mülkiyeti,1.0
60,65.0,3.0,4.Kat,Eşyalı,5-10,Diğer,1365000.0,denizli,4,Boş,Uygun,Var,Kat Mülkiyeti,1.0
55,60.0,2.0,Düz Giriş (Zemin),Eşyalı,5-10,Kombi Doğalgaz,935000.0,denizli,3,Boş,Uygun,Yok,Müstakil Tapulu,1.0
90,120.0,3.0,Düz Giriş (Zemin),,5-10,Kombi Doğalgaz,2200000.0,denizli,3,Boş,,,,1.0
54,55.0,2.0,Yüksek Giriş,Eşyalı,5-10,Kombi Doğalgaz,1150000.0,denizli,3,Boş,,,,1.0
127,138.0,4.0,Kot 3 (-3).Kat,,0 (Yeni),Yerden Isıtma,2400000.0,denizli,4,Boş,,,,1.0
65,75.0,3.0,4.Kat,,3,Yerden Isıtma,1533000.0,denizli,5,Boş,,,,1.0
95,105.0,3.0,2.Kat,,5-10,Kombi Doğalgaz,2150000.0,denizli,5,Boş,,,,1.0
139,349.0,4.0,1.Kat,Boş,21 Ve Üzeri,Kat Kaloriferi,2250000.0,denizli,7,Mülk Sahibi Oturuyor,Uygun,Yok,Arsa Tapulu,1.0
120,125.0,4.0,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,3500000.0,denizli,4,Boş,Uygun,,Kat Mülkiyeti,2.0
105,110.0,3.0,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,3000000.0,denizli,4,Boş,Uygun,Var,Kat Mülkiyeti,2.0
115,120.0,4.0,6.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,1510000.0,denizli,7,Mülk Sahibi Oturuyor,Uygun,,Kat İrtifakı,1.0
60,61.0,2.0,2.Kat,Eşyalı,5-10,Kombi Doğalgaz,1275000.0,denizli,4,Boş,Uygun,Yok,Kat Mülkiyeti,1.0
70,85.0,2.0,Bahçe Katı,Eşyalı,11-15,Kombi Doğalgaz,1350000.0,denizli,4,Boş,,Var,,1.0
120,130.0,4.0,6.Kat,,21 Ve Üzeri,Kombi Doğalgaz,1575000.0,denizli,7,Mülk Sahibi Oturuyor,,,,1.0
164,175.0,4.0,Bahçe Dublex,Boş,11-15,Kombi Doğalgaz,1650000.0,denizli,3,Mülk Sahibi Oturuyor,Uygun,Var,Kat İrtifakı,1.0
65,68.0,3.0,3.Kat,Eşyalı,4,Kombi Doğalgaz,1299000.0,denizli,3,Kiracı Oturuyor,Uygun,Var,Kat Mülkiyeti,1.0
90,100.0,3.0,3.Kat,,5-10,Kombi Doğalgaz,1850000.0,denizli,3,Boş,,,,1.0
165,175.0,4.0,3.Kat,,21 Ve Üzeri,Doğalgaz Sobalı,1529000.0,denizli,7,Boş,,,,1.0
50,55.0,2.0,Bahçe Katı,Eşyalı,5-10,Doğalgaz Sobalı,929000.0,denizli,3,Boş,,,,1.0
40,50.0,2.0,2.Kat,,5-10,Doğalgaz Sobalı,1290000.0,denizli,3,Boş,,,,1.0
