Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Eşya_Durumu,Binanın_Yaşı,Isıtma_Tipi,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Takas,Tapu_Durumu,Banyo_Sayısı
90,110.0,3.0,15.Kat,Boş,5-10,Kombi Doğalgaz,1170000.0,adana,15,Boş,Bilinmiyor,Yok,,1.0
125,145.0,4.0,5.Kat,,1,Kombi Doğalgaz,2100000.0,adana,8,Boş,,,,2.0
90,95.0,3.0,Düz Giriş (Zemin),,5-10,Isıtma Yok,1200000.0,adana,15,Boş,,Yok,Kat Mülkiyeti,2.0
65,85.0,3.0,5.Kat,Boş,5-10,Klimalı,1070000.0,adana,5,Kiracı Oturuyor,Bilinmiyor,Var,,1.0
40,75.0,2.0,1.Kat,Eşyalı,0 (Yeni),Klimalı,1100000.0,adana,10,Boş,Bilinmiyor,Var,Kat İrtifakı,1.0
240,250.0,5.0,6.Kat,Boş,16-20,Kombi Doğalgaz,3750000.0,adana,12,Boş,Bilinmiyor,Var,,2.0
120,170.0,4.0,7.Kat,,5-10,Kombi Doğalgaz,2930000.0,adana,12,Boş,,Yok,,2.0
50,60.0,2.0,14.Kat,,0 (Yeni),Klimalı,975000.0,adana,14,Boş,Uygun,,,1.0
125,150.0,5.0,3.Kat,Boş,21 Ve Üzeri,Isıtma Yok,2000000.0,adana,3,Boş,Bilinmiyor,Yok,,1.0
110,120.0,4.0,6.Kat,Boş,11-15,Kombi Doğalgaz,2300000.0,adana,10,Kiracı Oturuyor,Uygun,Yok,Kat Mülkiyeti,1.0
165,180.0,4.0,9.Kat,,11-15,Klimalı,2650000.0,adana,9,Boş,Uygun,Yok,Kat Mülkiyeti,1.0
135,160.0,4.0,8.Kat,,21 Ve Üzeri,Kombi Doğalgaz,2600000.0,adana,13,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,1.0
120,140.0,4.0,Yüksek Giriş,Boş,0 (Yeni),Kombi Doğalgaz,1920000.0,adana,5,Boş,Bilinmiyor,Yok,Kat İrtifakı,2.0
105,120.0,3.0,6.Kat,,0 (Yeni),Kombi Doğalgaz,2465000.0,adana,14,Boş,,,,2.0
230,250.0,5.0,4.Kat,,5-10,Kombi Doğalgaz,6750000.0,adana,3,Boş,,Yok,Kat Mülkiyeti,2.0
130,165.0,4.0,14.Kat,Boş,1,Kombi Doğalgaz,2850000.0,adana,15,Kiracı Oturuyor,Uygun,Yok,Kat Mülkiyeti,2.0
85,130.0,3.0,Düz Giriş (Zemin),Boş,16-20,Klimalı,1240000.0,adana,4,Kiracı Oturuyor,Uygun,,,1.0
40,50.0,2.0,6.Kat,Boş,4,Isıtma Yok,1195000.0,adana,6,Boş,,Yok,Kat Mülkiyeti,1.0
320,530.0,6.0,,Boş,0 (Yeni),Kombi Doğalgaz,20000000.0,adana,2,Boş,Uygun,,Kat Mülkiyeti,4.0
130,165.0,4.0,4.Kat,Boş,5-10,Kombi Doğalgaz,2150000.0,adana,6,Boş,Uygun,,Kat Mülkiyeti,2.0
115,120.0,8.0,,,11-15,Sobalı,3150000.0,adana,2,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,2.0
90,120.0,3.0,8.Kat,Eşyalı,5-10,Kombi Doğalgaz,2020000.0,adana,12,Boş,Bilinmiyor,Var,,2.0
135,155.0,4.0,6.Kat,Boş,16-20,Kombi Doğalgaz,3350000.0,adana,11,Boş,Bilinmiyor,Yok,,2.0
100,110.0,3.0,,Boş,21 Ve Üzeri,Klimalı,1650000.0,adana,2,Kiracı Oturuyor,Bilinmiyor,Yok,Arsa Tapulu,2.0
80,100.0,3.0,2.Kat,Boş,1,Kombi Doğalgaz,1480000.0,adana,5,Kiracı Oturuyor,Uygun,Yok,Kat İrtifakı,2.0
40,60.0,2.0,Yüksek Giriş,Boş,16-20,Klimalı,978000.0,adana,10,Boş,Bilinmiyor,Var,,1.0
130,150.0,4.0,1.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1550000.0,adana,4,Boş,Bilinmiyor,Var,,2.0
65,85.0,3.0,12.Kat,Eşyalı,4,Klimalı,2075000.0,adana,12,Boş,Bilinmiyor,Var,Kat İrtifakı,1.0
100,115.0,3.0,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1670000.0,adana,13,Boş,Bilinmiyor,Var,,1.0
100,120.0,4.0,5.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1985000.0,adana,11,Boş,Bilinmiyor,Var,,2.0
120,145.0,4.0,,Boş,5-10,Kombi Doğalgaz,2950000.0,adana,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,1.0
64,94.0,3.0,2.Kat,Boş,1,Kombi Doğalgaz,1150000.0,adana,8,Kiracı Oturuyor,,Var,Kat Mülkiyeti,1.0
82,102.0,3.0,6.Kat,,2,Kombi Doğalgaz,1750000.0,adana,6,Mülk Sahibi Oturuyor,,,,1.0
125,135.0,4.0,4.Kat,,5-10,Kombi Doğalgaz,3425000.0,adana,4,Mülk Sahibi Oturuyor,,,,2.0
98,105.0,3.0,1.Kat,,4,Klimalı,2050000.0,adana,13,Kiracı Oturuyor,,,,2.0
88,120.0,3.0,6.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2465000.0,adana,14,Boş,Uygun,,,2.0
85,120.0,3.0,6.Kat,Boş,1,Kombi Doğalgaz,2465000.0,adana,14,Boş,Uygun,,Kat Mülkiyeti,2.0
70,90.0,3.0,9.Kat,,3,Kombi Doğalgaz,1995000.0,adana,9,Kiracı Oturuyor,,,,2.0
85,135.0,3.0,10.Kat,,4,Kombi Doğalgaz,1525000.0,adana,15,Kiracı Oturuyor,,,Kat Mülkiyeti,2.0
135,195.0,4.0,2.Kat,,21 Ve Üzeri,Klimalı,3125000.0,adana,9,Kiracı Oturuyor,Bilinmiyor,Yok,,1.0
210,220.0,4.0,5.Kat,Boş,11-15,Güneş Enerjisi,3200000.0,adana,6,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,1.0
130,150.0,4.0,9.Kat,Boş,4,Kombi Doğalgaz,8250000.0,adana,3,Kiracı Oturuyor,Bilinmiyor,Yok,,2.0
45,55.0,2.0,3.Kat,,0 (Yeni),Klimalı,1125000.0,adana,13,Boş,Bilinmiyor,Yok,,1.0
80,90.0,3.0,12.Kat,Boş,16-20,Kombi Doğalgaz,1250000.0,adana,12,Boş,Bilinmiyor,Yok,Müstakil Tapulu,1.0
250,300.0,5.5,Müstakil,,16-20,Klimalı,2750000.0,adana,2,Boş,Uygun,,,2.0
44,45.0,2.0,,Boş,1,Klimalı,1450000.0,adana,2,Boş,Bilinmiyor,Yok,Müstakil Tapulu,1.0
44,45.0,2.0,1.Kat,Boş,0 (Yeni),Klimalı,1500000.0,adana,2,Boş,Bilinmiyor,Yok,Müstakil Tapulu,1.0
45,95.0,2.0,1.Kat,Boş,0 (Yeni),Klimalı,1450000.0,adana,2,Boş,Bilinmiyor,Yok,Müstakil Tapulu,1.0
45,70.0,2.0,Bahçe Katı,Boş,0 (Yeni),Klimalı,1250000.0,adana,2,Boş,Bilinmiyor,Var,Müstakil Tapulu,1.0
140,200.0,5.0,,,0 (Yeni),Kombi Doğalgaz,7500000.0,adana,2,Boş,,,,2.0
190,210.0,5.0,8.Kat,,5-10,Kombi Doğalgaz,2250000.0,adana,11,Boş,,,,2.0
110,215.0,7.0,Bahçe Dublex,Boş,16-20,Klimalı,3750000.0,adana,3,Mülk Sahibi Oturuyor,,,Müstakil Tapulu,2.0
78,100.0,3.0,9.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1500000.0,adana,9,Boş,Uygun,Var,Kat Mülkiyeti,1.0
78,100.0,3.0,Yüksek Giriş,Boş,0 (Yeni),Kombi Doğalgaz,1500000.0,adana,9,Boş,Uygun,Var,Kat İrtifakı,1.0
76,100.0,3.0,2.Kat,,0 (Yeni),Kombi Doğalgaz,1500000.0,adana,9,Boş,Uygun,Var,Kat İrtifakı,1.0
78,100.0,3.0,6.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1750000.0,adana,9,Boş,Uygun,Var,Kat Mülkiyeti,1.0
78,100.0,3.0,9.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1500000.0,adana,9,Boş,Uygun,Var,Kat Mülkiyeti,1.0
76,100.0,3.0,2.Kat,,0 (Yeni),Kombi Doğalgaz,1500000.0,adana,9,Boş,Uygun,Var,Kat İrtifakı,1.0
210,250.0,5.0,14.Kat,Boş,16-20,Kombi Doğalgaz,8450000.0,adana,15,Boş,Uygun,,,3.0
